symbol,ratio,type,2020,2021,2022,2023
AGII,Cash Ratio,Liquidity,0.1744558123868468,0.2868695602546885,0.2182542048841276,0.0
AGII,Current Ratio,Liquidity,1.009179180071675,1.0325416277985664,1.1666753881782548,0.0
AGII,DER,Solvency,0.9974533995267034,1.163461025358637,1.0467234465102535,0.0
AGII,Debt Ratio,Solvency,0.4657952065433792,0.5020384957056678,0.4726600595947097,0.0
AGII,GPM,Profitability,0.4265798181958605,0.4495980558000856,0.4423088700935209,0.0
AGII,NPM,Profitability,0.0440603808006566,0.0745516397066904,0.0380246388084199,0.0
AGII,Operating Margin,Profitability,0.1630204841560037,0.2072901654840984,0.1643176709803465,0.0
AGII,Quick Ratio,Liquidity,0.7319580352034714,0.800623438436717,0.8842389710401194,0.0
AGII,ROE,Profitability,0.0289907716178385,0.0579561517544407,0.0273548907283117,0.0
AGII,ROI,Profitability,0.0148681479708583,0.0277503241431611,0.0138679541479964,0.0
AGRO,DER,Solvency,0.0602803106756445,0.1050678254882216,0.0326123327029734,0.0265410030446678
AGRO,Debt Ratio,Solvency,0.0092257275218603,0.0153096955004801,0.007952214600431,0.0072967989317645
AGRO,Free Cash Flow,Liquidity,775550251000.0,-1100294868000.0,225389227000.0,-847205149000.0
AGRO,NPM,Profitability,0.0431454725622926,-3.1099780349491404,0.0156257185119245,0.0438589132901505
AGRO,ROE,Profitability,0.0072907977166356,-1.2392672165269072,0.0033815903948147,0.0071196664506956
AGRO,ROI,Profitability,0.0068801195060633,-1.1226143255920429,0.0033660962663731,0.0070893303431524
AGRS,DER,Solvency,1.5623958463826917,1.5283397349830516,1.1104908157230886,0.8010490103803933
AGRS,Debt Ratio,Solvency,0.3012267563490489,0.3204518681786334,0.252877598385585,0.221937635296123
AGRS,Free Cash Flow,Liquidity,-2396417000000.0,-1321801000000.0,-247057000000.0,-2004831000000.0
AGRS,NPM,Profitability,-0.8019652031178441,0.0328653601163284,0.194481781079694,0.304850971541477
AGRS,ROE,Profitability,-0.0930937269388232,0.0042629445630264,0.0248194392630986,0.0341415458067059
AGRS,ROI,Profitability,-0.0365275424481423,0.0016976470638283,0.0118089033748301,0.0189961804510187
AISA,Cash Ratio,Liquidity,0.2040175591112542,0.006944251548568,0.0060393256730526,0.037884126096556
AISA,Current Ratio,Liquidity,0.7484316150143322,0.6010944140440543,0.6751482956419018,0.7526348409700154
AISA,DER,Solvency,0.2844170034777705,0.2490718518412064,0.396052846065874,0.2437674758728525
AISA,Debt Ratio,Solvency,0.1203411089022085,0.1180574398541354,0.1689500917129794,0.1277537778296695
AISA,GPM,Profitability,0.247916554653476,0.2242558415232244,0.2615736855985232,0.3319211766576898
AISA,Interest Coverage Ratio,Solvency,1.9401538674344871,1.3678013331876298,-0.9491478644863036,2.7441785368303973
AISA,NPM,Profitability,0.9391279412715816,0.0037813659074785,-0.033981661693776,0.0110192821298898
AISA,Operating Margin,Profitability,-0.1262152944174184,-0.0089178692059,-0.0169859269736999,0.0712535643800839
AISA,Quick Ratio,Liquidity,0.6383981448003292,0.4629510291380795,0.5031857442925353,0.6093449531524897
AISA,ROE,Profitability,1.4160306419776294,0.006887458143512,-0.0800494934494341,0.0193666965430389
AISA,ROI,Profitability,1.2038456352040434,0.0060518368077113,-0.0617062369149058,0.0163432598088281
AKPI,Current Ratio,Liquidity,1.034220843549413,1.1220053740406106,1.2395458889708035,1.1689640675327249
AKPI,DER,Solvency,0.5977757874293126,0.7538011114036306,0.58579093414193,0.6847758031474833
AKPI,Debt Ratio,Solvency,0.2970430453192433,0.3306291147703801,0.2890303558961561,0.3375350450525569
AKPI,GPM,Profitability,0.1085095400585588,0.1275302632237952,0.1207552657188933,0.0826022784573522
